jeu_donnees,fichier,enregistrements,colonnes,etat,date_controle_utc
contacts,contacts.csv,12,13,OK,2026-08-10T06:52:26Z
dernieres_nouveautes,dernieres_nouveautes.csv,12,14,OK,2026-08-10T06:52:26Z
etat_donnees,etat_donnees.csv,23,6,OK,2026-08-10T06:52:26Z
etat_zones,etat_zones.csv,3,15,OK,2026-08-10T06:52:26Z
fusion_prospects,fusion_prospects.csv,0,6,OK,2026-08-10T06:52:26Z
historique_mises_a_jour,historique_mises_a_jour.csv,3,7,OK,2026-08-10T06:52:26Z
historique_signaux,historique_signaux.csv,43,7,OK,2026-08-10T06:52:26Z
metadonnees_application,metadonnees_application.csv,13,2,OK,2026-08-10T06:52:26Z
naf_chr,naf_chr.csv,8,3,OK,2026-08-10T06:52:26Z
nouveaux_signaux,nouveaux_signaux.csv,169,13,OK,2026-08-10T06:52:26Z
nouveaux_signaux_sirene,nouveaux_signaux_sirene.csv,0,19,OK,2026-08-10T06:52:26Z
opportunites_produits,opportunites_produits.csv,14,10,OK,2026-08-10T06:52:26Z
priorites,priorites.csv,43,12,OK,2026-08-10T06:52:26Z
prospects,prospects.csv,43,15,OK,2026-08-10T06:52:26Z
prospects_demo,prospects_demo.csv,8,14,OK,2026-08-10T06:52:26Z
requetes_veille,requetes_veille.csv,13,5,OK,2026-08-10T06:52:26Z
scores,scores.csv,43,11,OK,2026-08-10T06:52:26Z
scoring_rules,scoring_rules.csv,12,5,OK,2026-08-10T06:52:26Z
signaux,signaux.csv,169,17,OK,2026-08-10T06:52:26Z
signaux_hebdo,signaux_hebdo.csv,169,13,OK,2026-08-10T06:52:26Z
signaux_sirene,signaux_sirene.csv,0,19,OK,2026-08-10T06:52:26Z
sources_signaux,sources_signaux.csv,10,6,OK,2026-08-10T06:52:26Z
territoires,territoires.csv,52,7,OK,2026-08-10T06:52:26Z
